company_id,flight_number,scheduled_departure_date_local,difficulty_score,difficulty_class,rank_in_day
G7,4611,2025-08-01,1.0,Difficult,1.0
OO,4778,2025-08-01,1.0,Difficult,2.0
OO,5358,2025-08-01,1.0,Difficult,3.0
UA,1502,2025-08-01,1.0,Difficult,4.0
OO,5521,2025-08-01,1.0,Difficult,5.0
G7,4425,2025-08-01,1.0,Difficult,6.0
OO,5376,2025-08-01,1.0,Difficult,7.0
OO,5135,2025-08-01,1.0,Difficult,8.0
OO,5790,2025-08-01,1.0,Difficult,9.0
UA,1761,2025-08-01,1.0,Difficult,10.0
G7,4599,2025-08-01,1.0,Difficult,11.0
OO,5314,2025-08-01,1.0,Difficult,12.0
YX,3536,2025-08-01,0.9929078014184397,Difficult,13.0
UA,1584,2025-08-01,0.9929078014184397,Difficult,14.0
OO,5272,2025-08-01,0.9929078014184397,Difficult,15.0
UA,1363,2025-08-01,0.9929078014184397,Difficult,16.0
UA,1811,2025-08-01,0.9929078014184397,Difficult,17.0
UA,2011,2025-08-01,0.9810030395136778,Difficult,18.0
UA,2207,2025-08-01,0.9404761904761906,Difficult,19.0
OO,4748,2025-08-01,0.8666666666666667,Difficult,20.0
G7,4463,2025-08-01,0.8170376836898007,Difficult,21.0
UA,2182,2025-08-01,0.8170212206508586,Difficult,22.0
UA,2133,2025-08-01,0.8059195402298851,Difficult,23.0
UA,845,2025-08-01,0.8056081849185297,Difficult,24.0
UA,2488,2025-08-01,0.7837301587301587,Difficult,25.0
UA,972,2025-08-01,0.7696886446886446,Difficult,26.0
UA,416,2025-08-01,0.7696886446886446,Difficult,27.0
UA,1779,2025-08-01,0.7521428571428571,Difficult,28.0
UA,609,2025-08-01,0.7456043956043956,Difficult,29.0
UA,1495,2025-08-01,0.7223809523809525,Difficult,30.0
UA,909,2025-08-01,0.6977848101265822,Difficult,31.0
UA,2148,2025-08-01,0.6747619047619047,Difficult,32.0
UA,1756,2025-08-01,0.6747619047619047,Difficult,33.0
OO,5021,2025-08-01,0.6747619047619047,Difficult,34.0
UA,118,2025-08-01,0.6684560941128707,Difficult,35.0
UA,1580,2025-08-01,0.6565295901206863,Difficult,36.0
UA,2665,2025-08-01,0.6184848484848485,Difficult,37.0
UA,602,2025-08-01,0.6119463869463869,Difficult,38.0
YX,3716,2025-08-01,0.6004865424430642,Difficult,39.0
UA,912,2025-08-01,0.6004865424430642,Difficult,40.0
OO,5131,2025-08-01,0.5767296862429606,Difficult,41.0
UA,1531,2025-08-01,0.5649134199134199,Difficult,42.0
UA,2200,2025-08-01,0.5564750290360047,Difficult,43.0
UA,2394,2025-08-01,0.5520794246404003,Difficult,44.0
UA,970,2025-08-01,0.544209486166008,Difficult,45.0
UA,714,2025-08-01,0.544209486166008,Difficult,46.0
UA,980,2025-08-01,0.544209486166008,Difficult,47.0
UA,2487,2025-08-01,0.544209486166008,Difficult,48.0
OO,5643,2025-08-01,0.5022567783094098,Difficult,49.0
UA,1069,2025-08-01,0.49609317411174997,Difficult,50.0
UA,1492,2025-08-01,0.48656910782557344,Difficult,51.0
OO,5140,2025-08-01,0.4843425238600212,Difficult,52.0
UA,1660,2025-08-01,0.4774050784525093,Difficult,53.0
UA,2497,2025-08-01,0.4774050784525093,Difficult,54.0
UA,1030,2025-08-01,0.46924692469246926,Difficult,55.0
UA,2059,2025-08-01,0.46695121951219515,Difficult,56.0
UA,219,2025-08-01,0.4500521372760387,Difficult,57.0
UA,2652,2025-08-01,0.4487694013303769,Difficult,58.0
UA,1710,2025-08-01,0.4487694013303769,Difficult,59.0
UA,2628,2025-08-01,0.44238981600342314,Difficult,60.0
OO,5699,2025-08-01,0.44223093979191536,Difficult,61.0
